case_id	level	T	parent	alpha	facet	S3_or_X	orders	relations	intersection_condition	ip_defect	fvector	directly_regular	faithful	skeletal_polytope	geometrically_chiral	combinatorially_chiral	abstract_class	same_polytope_as	classification	note
L3-{3,5,5/2}-2	3 all isometries	{3,5,5/2}	O(4)	-E(5)-2*E(5)^2-2*E(5)^3-E(5)^4	H_alpha({3,5,5/2})	X_alpha (unique, Prop. E1)	3	true	false	2	-	-	-	-	-	-			PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 2
L3-{3,5,5/2}-3	3 all isometries	{3,5,5/2}	O(4)	E(5)+3*E(5)^2+3*E(5)^3+E(5)^4	H_alpha({3,5,5/2})	X_alpha (unique, Prop. E1)	3	true	false	2	-	-	-	-	-	-			PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 2
L3-{3,5,5/2}-4	3 all isometries	{3,5,5/2}	O(4)	-E(5)-E(5)^4	H_alpha({3,5,5/2})	X_alpha (unique, Prop. E1)	3	true	false	2	-	-	-	-	-	-			PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 2
L3-{3,5,5/2}-5	3 all isometries	{3,5,5/2}	O(4)	0	H_alpha({3,5,5/2})	X_alpha (unique, Prop. E1)	5	true	false	2	-	-	-	-	-	-			PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 2
L3-{5,5/2,5}-1	3 all isometries	{5,5/2,5}	O(4)	0	H_alpha({5,5/2,5})	X_alpha (unique, Prop. E1)	5	true	false	12	-	-	-	-	-	-			PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 12
L3-{5,3,5/2}-1	3 all isometries	{5,3,5/2}	O(4)	2/3*E(40)^7-1/3*E(40)^8-2/3*E(40)^13-2/3*E(40)^16-2/3*E(40)^21+2/3*E(40)^23-2/3*E(40)^24-2/3*E(40)^29+2/3*E(40)^31-1/3*E(40)^32-2/3*E(40)^37+2/3*E(40)^39	H_alpha({5,3,5/2})	X_alpha (unique, Prop. E1)	3	true	true	1	[ 240, 480, 120, 20 ]	true	true	true	true	false	4		PROVED-CONSTRUCTION	faithful chiral skeletal 4-polytope
L3-{5,3,5/2}-2	3 all isometries	{5,3,5/2}	O(4)	-2/3*E(40)^7-1/3*E(40)^8+2/3*E(40)^13-2/3*E(40)^16+2/3*E(40)^21-2/3*E(40)^23-2/3*E(40)^24+2/3*E(40)^29-2/3*E(40)^31-1/3*E(40)^32+2/3*E(40)^37-2/3*E(40)^39	H_alpha({5,3,5/2})	X_alpha (unique, Prop. E1)	3	true	true	1	[ 240, 480, 120, 20 ]	true	true	true	true	false	4	L3-{5,3,5/2}-1 (abstractly)	PROVED-CONSTRUCTION	abstractly isomorphic to L3-{5,3,5/2}-1, geometrically: congruent vertex sets (same Gram invariant); no vertex of b is parallel to a vertex of a, so the vertex sets differ; faithful chiral skeletal 4-polytope
L3-{5,3,5/2}-3	3 all isometries	{5,3,5/2}	O(4)	-E(40)^7+E(40)^13-E(40)^16+E(40)^21-E(40)^23-E(40)^24+E(40)^29-E(40)^31+E(40)^37-E(40)^39	H_alpha({5,3,5/2})	X_alpha (unique, Prop. E1)	3	true	true	1	[ 240, 480, 120, 20 ]	true	true	true	true	false	4	L3-{5,3,5/2}-1 (abstractly)	PROVED-CONSTRUCTION	abstractly isomorphic to L3-{5,3,5/2}-1, geometrically: congruent vertex sets (same Gram invariant); no vertex of b is parallel to a vertex of a, so the vertex sets differ; faithful chiral skeletal 4-polytope
L3-{5,3,5/2}-4	3 all isometries	{5,3,5/2}	O(4)	E(40)^7-E(40)^13-E(40)^16-E(40)^21+E(40)^23-E(40)^24-E(40)^29+E(40)^31-E(40)^37+E(40)^39	H_alpha({5,3,5/2})	X_alpha (unique, Prop. E1)	3	true	true	1	[ 240, 480, 120, 20 ]	true	true	true	true	false	4	L3-{5,3,5/2}-1 (abstractly)	PROVED-CONSTRUCTION	abstractly isomorphic to L3-{5,3,5/2}-1, geometrically: congruent vertex sets (same Gram invariant); no vertex of b is parallel to a vertex of a, so the vertex sets differ; faithful chiral skeletal 4-polytope
L3-{5,3,5/2}-5	3 all isometries	{5,3,5/2}	O(4)	-E(40)^7+E(40)^8+E(40)^13-E(40)^23+E(40)^32+E(40)^37	H_alpha({5,3,5/2})	X_alpha (unique, Prop. E1)	4	true	true	1	[ 48, 144, 48, 8 ]	false	true	true	true	true	5		PROVED-CONSTRUCTION	faithful chiral skeletal 4-polytope
L3-{5,3,5/2}-6	3 all isometries	{5,3,5/2}	O(4)	E(40)^7+E(40)^8-E(40)^13+E(40)^23+E(40)^32-E(40)^37	H_alpha({5,3,5/2})	X_alpha (unique, Prop. E1)	4	true	true	1	[ 48, 144, 48, 8 ]	false	true	true	true	true	5	L3-{5,3,5/2}-5 (abstractly)	PROVED-CONSTRUCTION	abstractly isomorphic to L3-{5,3,5/2}-5, geometrically: congruent vertex sets (same Gram invariant); no vertex of b is parallel to a vertex of a, so the vertex sets differ; faithful chiral skeletal 4-polytope
L3-{5,3,5/2}-7	3 all isometries	{5,3,5/2}	O(4)	-E(40)^8-2*E(40)^16+E(40)^21-2*E(40)^24+E(40)^29-E(40)^31-E(40)^32-E(40)^39	H_alpha({5,3,5/2})	X_alpha (unique, Prop. E1)	4	true	true	1	[ 48, 144, 48, 8 ]	false	true	true	true	true	5	L3-{5,3,5/2}-5 (abstractly)	PROVED-CONSTRUCTION	abstractly isomorphic to L3-{5,3,5/2}-5, geometrically: same vertex set, different edge/face/cell structure (not identical, not mirror images under R0); faithful chiral skeletal 4-polytope
L3-{5,3,5/2}-8	3 all isometries	{5,3,5/2}	O(4)	-E(40)^8-2*E(40)^16-E(40)^21-2*E(40)^24-E(40)^29+E(40)^31-E(40)^32+E(40)^39	H_alpha({5,3,5/2})	X_alpha (unique, Prop. E1)	4	true	true	1	[ 48, 144, 48, 8 ]	false	true	true	true	true	5	L3-{5,3,5/2}-5 (abstractly)	PROVED-CONSTRUCTION	abstractly isomorphic to L3-{5,3,5/2}-5, geometrically: congruent vertex sets (same Gram invariant); no vertex of b is parallel to a vertex of a, so the vertex sets differ; faithful chiral skeletal 4-polytope
L3-{5,3,5/2}-9	3 all isometries	{5,3,5/2}	O(4)	1	H_alpha({5,3,5/2})	X_alpha (unique, Prop. E1)	5	true	true	1	[ 120, 720, 300, 50 ]	false	true	true	true	true	3	C-{5/2,3,5}	DUPLICATE	identical geometric polytope to C-{5/2,3,5}; faithful chiral skeletal 4-polytope
L3-{5,3,5/2}-10	3 all isometries	{5,3,5/2}	O(4)	-1	H_alpha({5,3,5/2})	X_alpha (unique, Prop. E1)	5	true	true	1	[ 120, 720, 300, 50 ]	false	true	true	true	true	6		PROVED-CONSTRUCTION	faithful chiral skeletal 4-polytope
L3-{5,3,5/2}-11	3 all isometries	{5,3,5/2}	O(4)	E(5)+E(5)^4	H_alpha({5,3,5/2})	X_alpha (unique, Prop. E1)	5	true	true	1	[ 120, 720, 300, 50 ]	false	true	true	true	true	6	L3-{5,3,5/2}-10 (abstractly)	PROVED-CONSTRUCTION	abstractly isomorphic to L3-{5,3,5/2}-10, geometrically: congruent vertex sets (same Gram invariant); no vertex of b is parallel to a vertex of a, so the vertex sets differ; faithful chiral skeletal 4-polytope
L3-{5,3,5/2}-12	3 all isometries	{5,3,5/2}	O(4)	E(5)+4*E(5)^2+4*E(5)^3+E(5)^4	H_alpha({5,3,5/2})	X_alpha (unique, Prop. E1)	5	true	true	1	[ 120, 720, 300, 50 ]	false	true	true	true	true	3	C-{5,3,5/2} (abstractly)	PROVED-CONSTRUCTION	abstractly isomorphic to C-{5,3,5/2}, geometrically: congruent vertex sets (same Gram invariant); no vertex of b is parallel to a vertex of a, so the vertex sets differ; faithful chiral skeletal 4-polytope
L3-{5,3,5/2}-13	3 all isometries	{5,3,5/2}	O(4)	2	H_alpha({5,3,5/2})	X_alpha (unique, Prop. E1)	5	true	true	1	[ 120, 720, 300, 50 ]	false	true	true	true	true	6	L3-{5,3,5/2}-10 (abstractly)	PROVED-CONSTRUCTION	abstractly isomorphic to L3-{5,3,5/2}-10, geometrically: same vertex set, different edge/face/cell structure (not identical, not mirror images under R0); faithful chiral skeletal 4-polytope
L3-{5,3,5/2}-14	3 all isometries	{5,3,5/2}	O(4)	-E(5)-2*E(5)^2-2*E(5)^3-E(5)^4	H_alpha({5,3,5/2})	X_alpha (unique, Prop. E1)	5	true	true	1	[ 120, 720, 300, 50 ]	false	true	true	true	true	6	L3-{5,3,5/2}-10 (abstractly)	PROVED-CONSTRUCTION	abstractly isomorphic to L3-{5,3,5/2}-10, geometrically: congruent vertex sets (same Gram invariant); no vertex of b is parallel to a vertex of a, so the vertex sets differ; faithful chiral skeletal 4-polytope
L3-{5,3,5/2}-15	3 all isometries	{5,3,5/2}	O(4)	-5*E(5)-2*E(5)^2-2*E(5)^3-5*E(5)^4	H_alpha({5,3,5/2})	X_alpha (unique, Prop. E1)	5	true	true	1	[ 120, 720, 300, 50 ]	false	true	true	true	true	3	C-{5,3,5/2} (abstractly)	PROVED-CONSTRUCTION	abstractly isomorphic to C-{5,3,5/2}, geometrically: congruent vertex sets (same Gram invariant); no vertex of b is parallel to a vertex of a, so the vertex sets differ; faithful chiral skeletal 4-polytope
L3-{5,3,5/2}-16	3 all isometries	{5,3,5/2}	O(4)	0	H_alpha({5,3,5/2})	X_alpha (unique, Prop. E1)	5	true	true	1	[ 120, 720, 300, 50 ]	false	true	true	true	true	3	C-{5,3,5/2}	DUPLICATE	identical geometric polytope to C-{5,3,5/2}; faithful chiral skeletal 4-polytope
L3-{3,3,5/2}-1	3 all isometries	{3,3,5/2}	O(4)	1	H_alpha({3,3,5/2})	X_alpha (unique, Prop. E1)	3	true	true	1	[ 600, 1200, 120, 5 ]	false	true	true	true	true	2	C-{5/2,3,3}	DUPLICATE	identical geometric polytope to C-{5/2,3,3}; faithful chiral skeletal 4-polytope
L3-{3,3,5/2}-2	3 all isometries	{3,3,5/2}	O(4)	11*E(40)^7-16*E(40)^8-11*E(40)^13-6*E(40)^16-4*E(40)^21+11*E(40)^23-6*E(40)^24-4*E(40)^29+4*E(40)^31-16*E(40)^32-11*E(40)^37+4*E(40)^39	H_alpha({3,3,5/2})	X_alpha (unique, Prop. E1)	3	true	true	1	[ 600, 1200, 120, 5 ]	false	false	false	false	true			PROVED-OBSTRUCTION-IN-PARENT	abstract polytope exists but the realisation is not faithful
L3-{3,3,5/2}-3	3 all isometries	{3,3,5/2}	O(4)	-2*E(40)^7+2*E(40)^8+2*E(40)^13+E(40)^21-2*E(40)^23+E(40)^29-E(40)^31+2*E(40)^32+2*E(40)^37-E(40)^39	H_alpha({3,3,5/2})	X_alpha (unique, Prop. E1)	3	true	true	1	[ 600, 1200, 120, 5 ]	false	false	false	false	true			PROVED-OBSTRUCTION-IN-PARENT	abstract polytope exists but the realisation is not faithful
L3-{3,3,5/2}-4	3 all isometries	{3,3,5/2}	O(4)	-E(40)^7+E(40)^13+2*E(40)^16+2*E(40)^21-E(40)^23+2*E(40)^24+2*E(40)^29-2*E(40)^31+E(40)^37-2*E(40)^39	H_alpha({3,3,5/2})	X_alpha (unique, Prop. E1)	3	true	true	1	[ 600, 1200, 120, 5 ]	false	true	true	true	true	2	C-{5,3,3} (abstractly)	PROVED-CONSTRUCTION	abstractly isomorphic to C-{5,3,3}, geometrically: congruent vertex sets (same Gram invariant); no vertex of b is parallel to a vertex of a, so the vertex sets differ; faithful chiral skeletal 4-polytope
L3-{3,3,5/2}-5	3 all isometries	{3,3,5/2}	O(4)	-1/3*E(40)^7+1/3*E(40)^13-2/3*E(40)^16-1/3*E(40)^23-2/3*E(40)^24+1/3*E(40)^37	H_alpha({3,3,5/2})	X_alpha (unique, Prop. E1)	5	true	false	4	-	-	-	-	-	-			PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 4
L3-{3,3,5/2}-6	3 all isometries	{3,3,5/2}	O(4)	2+E(8)-E(8)^3	H_alpha({3,3,5/2})	X_alpha (unique, Prop. E1)	5	true	false	4	-	-	-	-	-	-			PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 4
L3-{3,3,5/2}-7	3 all isometries	{3,3,5/2}	O(4)	E(40)^7-E(40)^13+2*E(40)^16-2*E(40)^21+E(40)^23+2*E(40)^24-2*E(40)^29+2*E(40)^31-E(40)^37+2*E(40)^39	H_alpha({3,3,5/2})	X_alpha (unique, Prop. E1)	5	true	false	4	-	-	-	-	-	-			PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 4
L3-{3,3,5/2}-8	3 all isometries	{3,3,5/2}	O(4)	0	H_alpha({3,3,5/2})	X_alpha (unique, Prop. E1)	5	true	false	4	-	-	-	-	-	-			PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 4
L3-{3,5/2,5}-1	3 all isometries	{3,5/2,5}	O(4)	1	H_alpha({3,5/2,5})	X_alpha (unique, Prop. E1)	3	true	false	2	-	-	-	-	-	-			PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 2
L3-{3,5/2,5}-2	3 all isometries	{3,5/2,5}	O(4)	E(5)^2+E(5)^3	H_alpha({3,5/2,5})	X_alpha (unique, Prop. E1)	3	true	false	2	-	-	-	-	-	-			PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 2
L3-{3,5/2,5}-3	3 all isometries	{3,5/2,5}	O(4)	-1/5*E(5)+1/5*E(5)^2+1/5*E(5)^3-1/5*E(5)^4	H_alpha({3,5/2,5})	X_alpha (unique, Prop. E1)	3	true	false	2	-	-	-	-	-	-			PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 2
L3-{3,5/2,5}-4	3 all isometries	{3,5/2,5}	O(4)	-2/5*E(5)-3/5*E(5)^2-3/5*E(5)^3-2/5*E(5)^4	H_alpha({3,5/2,5})	X_alpha (unique, Prop. E1)	3	true	false	2	-	-	-	-	-	-			PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 2
L3-{3,5/2,5}-5	3 all isometries	{3,5/2,5}	O(4)	0	H_alpha({3,5/2,5})	X_alpha (unique, Prop. E1)	5	true	false	2	-	-	-	-	-	-			PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 2
L3-{5/2,5,5/2}-1	3 all isometries	{5/2,5,5/2}	O(4)	0	H_alpha({5/2,5,5/2})	X_alpha (unique, Prop. E1)	5	true	false	12	-	-	-	-	-	-			PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 12
